file,dataset
LC08_L1TP_014015_20191125_20191203_01_T1_446985_7203115_allnorm_100m_256p_norm.tif,train
LC08_L1TP_014015_20191125_20191203_01_T1_446985_7181115_allnorm_100m_256p_norm.tif,train
LC08_L1TP_014015_20191125_20191203_01_T1_490985_7181115_allnorm_100m_256p_norm.tif,train
LC08_L1TP_014015_20191125_20191203_01_T1_512985_7181115_allnorm_100m_256p_norm.tif,train
LC08_L1TP_014015_20191125_20191203_01_T1_534985_7181115_allnorm_100m_256p_norm.tif,train
LC08_L1TP_014015_20191125_20191203_01_T1_556985_7181115_allnorm_100m_256p_norm.tif,train
LC08_L1TP_014015_20191125_20191203_01_T1_578985_7181115_allnorm_100m_256p_norm.tif,train
LC08_L1TP_014015_20191125_20191203_01_T1_424985_7159115_allnorm_100m_256p_norm.tif,train
LC08_L1TP_014015_20191125_20191203_01_T1_446985_7159115_allnorm_100m_256p_norm.tif,train
LC08_L1TP_014015_20191125_20191203_01_T1_468985_7159115_allnorm_100m_256p_norm.tif,train
LC08_L1TP_014015_20191125_20191203_01_T1_490985_7159115_allnorm_100m_256p_norm.tif,train
LC08_L1TP_014015_20191125_20191203_01_T1_512985_7159115_allnorm_100m_256p_norm.tif,train
LC08_L1TP_014015_20191125_20191203_01_T1_534985_7159115_allnorm_100m_256p_norm.tif,train
LC08_L1TP_014015_20191125_20191203_01_T1_556985_7159115_allnorm_100m_256p_norm.tif,train
LC08_L1TP_014015_20191125_20191203_01_T1_578985_7159115_allnorm_100m_256p_norm.tif,train
LC08_L1TP_014015_20191125_20191203_01_T1_424985_7137115_allnorm_100m_256p_norm.tif,train
LC08_L1TP_014015_20191125_20191203_01_T1_446985_7137115_allnorm_100m_256p_norm.tif,train
LC08_L1TP_014015_20191125_20191203_01_T1_468985_7137115_allnorm_100m_256p_norm.tif,train
LC08_L1TP_014015_20191125_20191203_01_T1_490985_7137115_allnorm_100m_256p_norm.tif,train
LC08_L1TP_014015_20191125_20191203_01_T1_512985_7137115_allnorm_100m_256p_norm.tif,train
LC08_L1TP_014015_20191125_20191203_01_T1_534985_7137115_allnorm_100m_256p_norm.tif,train
