file,dataset
LC09_L1TP_134039_20231207_20231207_02_T1_262585_3450515_allnorm_100m_256p_norm.tif,train
LC09_L1TP_134039_20231207_20231207_02_T1_284585_3450515_allnorm_100m_256p_norm.tif,train
LC09_L1TP_134039_20231207_20231207_02_T1_306585_3428515_allnorm_100m_256p_norm.tif,train
LC09_L1TP_134039_20231207_20231207_02_T1_328585_3428515_allnorm_100m_256p_norm.tif,train
LC09_L1TP_134039_20231207_20231207_02_T1_372585_3428515_allnorm_100m_256p_norm.tif,train
LC09_L1TP_134039_20231207_20231207_02_T1_218585_3406515_allnorm_100m_256p_norm.tif,train
LC09_L1TP_134039_20231207_20231207_02_T1_306585_3406515_allnorm_100m_256p_norm.tif,train
LC09_L1TP_134039_20231207_20231207_02_T1_328585_3406515_allnorm_100m_256p_norm.tif,train
LC09_L1TP_134039_20231207_20231207_02_T1_350585_3406515_allnorm_100m_256p_norm.tif,train
LC09_L1TP_134039_20231207_20231207_02_T1_218585_3384515_allnorm_100m_256p_norm.tif,train
LC09_L1TP_134039_20231207_20231207_02_T1_284585_3384515_allnorm_100m_256p_norm.tif,train
LC09_L1TP_134039_20231207_20231207_02_T1_328585_3384515_allnorm_100m_256p_norm.tif,train
LC09_L1TP_134039_20231207_20231207_02_T1_218585_3362515_allnorm_100m_256p_norm.tif,train
LC09_L1TP_134039_20231207_20231207_02_T1_240585_3362515_allnorm_100m_256p_norm.tif,train
LC09_L1TP_134039_20231207_20231207_02_T1_262585_3362515_allnorm_100m_256p_norm.tif,train
LC09_L1TP_134039_20231207_20231207_02_T1_218585_3340515_allnorm_100m_256p_norm.tif,train
LC09_L1TP_134039_20231207_20231207_02_T1_240585_3340515_allnorm_100m_256p_norm.tif,train
LC09_L1TP_134039_20231207_20231207_02_T1_262585_3340515_allnorm_100m_256p_norm.tif,train
LC09_L1TP_134039_20231207_20231207_02_T1_284585_3340515_allnorm_100m_256p_norm.tif,train
LC09_L1TP_134039_20231207_20231207_02_T1_218585_3318515_allnorm_100m_256p_norm.tif,train
LC09_L1TP_134039_20231207_20231207_02_T1_240585_3318515_allnorm_100m_256p_norm.tif,train
LC09_L1TP_134039_20231207_20231207_02_T1_262585_3318515_allnorm_100m_256p_norm.tif,train
LC09_L1TP_134039_20231207_20231207_02_T1_262585_3296515_allnorm_100m_256p_norm.tif,train
LC09_L1TP_134039_20231207_20231207_02_T1_284585_3296515_allnorm_100m_256p_norm.tif,train
LC09_L1TP_036037_20230106_20230314_02_T1_428285_3765515_allnorm_100m_256p_norm.tif,train
LC09_L1TP_036037_20230106_20230314_02_T1_450285_3765515_allnorm_100m_256p_norm.tif,train
LC09_L1TP_036037_20230106_20230314_02_T1_472285_3765515_allnorm_100m_256p_norm.tif,train
LC09_L1TP_036037_20230106_20230314_02_T1_428285_3743515_allnorm_100m_256p_norm.tif,train
LC09_L1TP_036037_20230106_20230314_02_T1_450285_3743515_allnorm_100m_256p_norm.tif,train
LC09_L1TP_036037_20230106_20230314_02_T1_472285_3743515_allnorm_100m_256p_norm.tif,train
LC09_L1TP_036037_20230106_20230314_02_T1_494285_3743515_allnorm_100m_256p_norm.tif,train
LC09_L1TP_036037_20230106_20230314_02_T1_516285_3743515_allnorm_100m_256p_norm.tif,train
LC09_L1TP_036037_20230106_20230314_02_T1_538285_3743515_allnorm_100m_256p_norm.tif,train
LC09_L1TP_036037_20230106_20230314_02_T1_560285_3743515_allnorm_100m_256p_norm.tif,train
LC09_L1TP_036037_20230106_20230314_02_T1_428285_3721515_allnorm_100m_256p_norm.tif,train
LC09_L1TP_036037_20230106_20230314_02_T1_450285_3721515_allnorm_100m_256p_norm.tif,train
LC09_L1TP_036037_20230106_20230314_02_T1_472285_3721515_allnorm_100m_256p_norm.tif,train
LC09_L1TP_036037_20230106_20230314_02_T1_494285_3721515_allnorm_100m_256p_norm.tif,train
LC09_L1TP_036037_20230106_20230314_02_T1_516285_3721515_allnorm_100m_256p_norm.tif,train
LC09_L1TP_036037_20230106_20230314_02_T1_538285_3721515_allnorm_100m_256p_norm.tif,train
LC09_L1TP_036037_20230106_20230314_02_T1_428285_3699515_allnorm_100m_256p_norm.tif,train
LC09_L1TP_036037_20230106_20230314_02_T1_450285_3699515_allnorm_100m_256p_norm.tif,train
LC09_L1TP_036037_20230106_20230314_02_T1_472285_3699515_allnorm_100m_256p_norm.tif,train
LC09_L1TP_036037_20230106_20230314_02_T1_494285_3699515_allnorm_100m_256p_norm.tif,train
