file,dataset
F16201708160716_26767_81053.tif,train
F16201707020844_45811_7526.tif,train
F16201707020844_37808_51888.tif,train
F16201708160716_36955_66310.tif,train
F16201707020844_45495_66082.tif,train
F16201709171708_187954_33434.tif,train
F16201710201451_3600_26579.tif,train
F16201711250650_28905_11229.tif,train
F16201711250650_54100_2881.tif,train
F16201710201451_3_92802.tif,train
F16201702281849_180034_37507.tif,train
F16201708160716_52464_14889.tif,train
F16201709171708_185642_84997.tif,train
F16201707020844_28887_63853.tif,train
F16201712141938_152475_99364.tif,train
F16201708160716_51131_15828.tif,train
F16201709171708_2403_16657.tif,train
F16201704130735_44068_40806.tif,train
F16201707020844_47582_36343.tif,train
F16201712141938_148533_92750.tif,train
F16201712141938_177696_31484.tif,train
F16201712141938_17196_2281.tif,train
F16201711250650_33280_19277.tif,train
F16201704130735_39863_77623.tif,train
F16201701190021_11736_91421.tif,train
F16201709171708_9277_16844.tif,train
F16201705240708_39025_70279.tif,train
F16201706140049_22640_68953.tif,train
F16201710201451_180057_105515.tif,train
F16201710201451_190906_106817.tif,train
F16201705240708_38221_30248.tif,train
F16201707020844_43780_59793.tif,train
F16201701190021_20290_39027.tif,train
F16201708160716_23283_78343.tif,train
F16201702281849_148450_106297.tif,train
F16201704130735_26566_67766.tif,train
F16201709171708_189370_42197.tif,train
F16201711250650_45892_20280.tif,train
F16201711250650_20125_85400.tif,train
F16201709171708_188468_83842.tif,train
F16201701190021_20595_36376.tif,train
F16201703180302_53455_36507.tif,train
F16201701190021_56222_16430.tif,train
F16201707020844_54575_8275.tif,train
F16201708160716_36473_26443.tif,train
F16201710201451_183830_99657.tif,train
F16201701190021_51055_3315.tif,train
F16201705240708_38487_10654.tif,train
F16201706140049_44933_29356.tif,train
F16201709171708_2110_16439.tif,train
F16201710201451_180137_108411.tif,train
F16201707020844_19933_68401.tif,train
F16201702281849_173396_60505.tif,train
F16201711250650_47214_7965.tif,train
F16201705240708_48166_27138.tif,train
F16201705240708_51693_13644.tif,train
F16201710201451_57497_3111.tif,train
F16201707020844_31927_44547.tif,train
F16201703180302_43771_52501.tif,train
F16201709171708_192042_30145.tif,train
F16201709171708_184148_37172.tif,train
F16201701190021_48351_231.tif,train
F16201703180302_16391_105029.tif,train
F16201704130735_43073_86256.tif,train
F16201704130735_37757_43139.tif,train
F16201703180302_53940_7976.tif,train
F16201712141938_183562_13319.tif,train
F16201701190021_40077_11559.tif,train
F16201711250650_10154_83780.tif,train
F16201706140049_45627_3571.tif,train
F16201705240708_36795_50124.tif,train
F16201705240708_50792_2775.tif,train
F16201704130735_44888_73086.tif,train
F16201712141938_158619_3042.tif,train
F16201708160716_42646_50296.tif,train
F16201701190021_66242_402.tif,train
F16201705240708_47696_18214.tif,train
F16201707020844_45206_18407.tif,train
F16201703180302_40503_88570.tif,train
F16201709171708_198760_33783.tif,train
F16201703180302_41995_31064.tif,train
F16201711250650_10863_78750.tif,train
F16201706140049_35506_31178.tif,train
F16201704130735_34674_83922.tif,train
F16201701190021_18987_10683.tif,train
F16201708160716_44197_47784.tif,train
F16201708160716_40093_70090.tif,train
F16201704130735_38241_66034.tif,train
F16201703180302_48208_42874.tif,train
F16201710201451_25936_12505.tif,train
F16201709171708_174553_71625.tif,train
F16201709171708_183444_41175.tif,train
F16201701190021_20847_25533.tif,train
F16201710201451_2787_54403.tif,train
F16201709171708_199361_37743.tif,train
F16201712141938_158942_64789.tif,train
F16201702281849_171763_86177.tif,train
F16201709171708_181083_88599.tif,train
F16201706140049_33957_63642.tif,train
F16201703180302_40212_26624.tif,train
