Table 3 features value,model_type,features,model_file,pixel_accuracy,iou_avg,dataset,loss,iou_0,iou_1,recall_0,recall_1,precision_1,precision_0,target_band,num_classes,thin_cloud_class,lr,patience,optimizer
All Bands,CDnetV2,"[""cloudy_B1"",""cloudy_B2"",""cloudy_B3"",""cloudy_B4"",""cloudy_B6"",""cloudy_B7"",""cloudy_B9"",""cloudy_Radiance_B10_B11_mean""]",model_hash_1b0f926e955eb43.pth,0.9095783726497522,0.70780318868941,split_main_landsat.csv,CDnetV2Loss,0.9072249819771137,0.43490730643330633,0.9533071589962776,0.5946179318626804,0.6182042493607751,0.9494128471763044,cloudy_cloud_mask,3,1,0.00003,5,
TIR/Meteo,CDnetV2,"[""cloudy_Radiance_B10_B11_mean"",""acqt_surface_pressure"",""acqt_dewpoint_2m"",""acqt_skin_temp"",""acqt_total_precip_log"",""acqt_snow_cover_log""]",model_hash_048a35e99dbf166.pth,0.8654070073011926,0.5435813479196946,split_main_landsat.csv,CDnetV2Loss,0.8406222570845316,0.0663184806955983,0.9567598897208428,0.07318761286390843,0.4140377365377815,0.8738198522555017,cloudy_cloud_mask,3,1,0.00003,5,
TIR/Aux,CDnetV2,"[""cloudy_Radiance_B10_B11_mean"",""clear_Radiance_B10_B11_mean"",""acqt_surface_pressure"",""acqt_dewpoint_2m"",""acqt_skin_temp"",""acqt_total_precip_log"",""acqt_snow_cover_log"",""dem""]",model_hash_ce90df88a25e59a.pth,0.8703608993411989,0.5867313430055067,split_main_landsat.csv,CDnetV2Loss,0.8535031538489198,0.18043023086326376,0.94023756090361,0.2326332298234037,0.44569308645968103,0.9024612369005256,cloudy_cloud_mask,3,1,0.00003,5,
TIR/Clear,CDnetV2,"[""cloudy_Radiance_B10_B11_mean"",""clear_Radiance_B10_B11_mean""]",model_hash_4766926b0a6874b.pth,0.8377842373318143,0.5274518172080794,split_main_landsat.csv,CDnetV2Loss,0.8081918723182305,0.11278208373312457,0.9298532936226952,0.14096645113300674,0.360650171033071,0.8606655815948753,cloudy_cloud_mask,3,1,0.00003,5,
TIR/DEM,CDnetV2,"[""cloudy_Radiance_B10_B11_mean"",""dem""]",model_hash_8d96c95b40b3d4e.pth,0.8323273523217332,0.5080092934106126,split_main_landsat.csv,CDnetV2Loss,0.8029282153871523,0.07684800919909665,0.91657153330826,0.0849764526117205,0.4454873008467458,0.8662365864582382,cloudy_cloud_mask,3,1,0.00003,5,
TIR,CDnetV2,"[""cloudy_Radiance_B10_B11_mean""]",model_hash_9324fc9c5dde7ac.pth,0.8305688064535767,0.5346186692402409,split_main_landsat.csv,CDnetV2Loss,0.8244102555821319,0.1464706776017218,0.92299966287832,0.24745737497031148,0.26411670347686345,0.8852971067815858,cloudy_cloud_mask,3,1,0.00003,5,
All Bands,SegFormer,"[""cloudy_B1"",""cloudy_B2"",""cloudy_B3"",""cloudy_B4"",""cloudy_B6"",""cloudy_B7"",""cloudy_B9"",""cloudy_Radiance_B10_B11_mean""]",model_hash_4cdc5989b41dc79.pth,0.8909546263150159,0.662138547270141,split_main_landsat.csv,Dice,0.8854407713930934,0.3477493867094241,0.9321511293264526,0.5058347336299676,0.5266750820999243,0.9464376809531247,cloudy_cloud_mask,3,1,0.00003,5,
TIR/Meteo,SegFormer,"[""cloudy_Radiance_B10_B11_mean"",""acqt_surface_pressure"",""acqt_dewpoint_2m"",""acqt_skin_temp"",""acqt_total_precip_log"",""acqt_snow_cover_log""]",model_hash_2acd9129a64cca3.pth,0.8759555767364896,0.5968567136980587,split_main_landsat.csv,Dice,0.858369074733878,0.1812250903487676,0.9314824267337016,0.242223805490953,0.4184824707828253,0.916218695852882,cloudy_cloud_mask,3,1,0.00003,5,
TIR/Aux,SegFormer,"[""cloudy_Radiance_B10_B11_mean"",""clear_Radiance_B10_B11_mean"",""acqt_surface_pressure"",""acqt_dewpoint_2m"",""acqt_skin_temp"",""acqt_total_precip_log"",""acqt_snow_cover_log"",""dem""]",model_hash_63743aa2f741c47.pth,0.8728315023180743,0.5787028887920739,split_main_landsat.csv,Dice,0.851022980339555,0.14037805193791253,0.9599855737482108,0.17920212217756049,0.39318536381443303,0.8823212190643697,cloudy_cloud_mask,3,1,0.00003,5,
TIR/Clear,SegFormer,"[""cloudy_Radiance_B10_B11_mean"",""clear_Radiance_B10_B11_mean""]",model_hash_732bc56db6470dc.pth,0.8556915992914245,0.5930779179935671,split_main_landsat.csv,Dice,0.8390492630326861,0.23970691988295167,0.912997856479679,0.3900498729650854,0.38343758614501067,0.9119658314926176,cloudy_cloud_mask,3,1,0.00003,5,
