dataset,Training Scheme,model_type,features,pixel_accuracy,iou_avg,iou_0,iou_1,recall_0,recall_1,num_classes,thin_cloud_class,trained,freeze_encoder,freeze_encoder_first_k,optimizer,lr,lr_ratio,model_file,batch_size,patience
split_landsat_MA.csv,Frozen encoder,SegFormer,"[""cloudy_Radiance_B10_B11_mean""]",0.8607431963036623,0.7538428786680418,0.7334613747826778,0.7742243825534056,0.932116339823176,0.8109158474182729,2,2,split_main_landsat.csv,true,,,0.00003,1,model_hash_b6f1d44a9af8afd.pth,16,10
split_landsat_MA.csv,Frozen encoder,Unet,"[""cloudy_Radiance_B10_B11_mean""]",0.8873529782722954,0.7949086563978085,0.7717874165133048,0.818029896282312,0.9266472120006936,0.8599207061791673,2,2,split_main_landsat.csv,true,,,0.00003,1,model_hash_defc151d9dc86c8.pth,16,10
split_landsat_MA.csv,Frozen encoder,Unet,"[""cloudy_Radiance_B10_B11_mean""]",0.8794724220453307,0.7819064734970163,0.7564684471706419,0.8073444998233907,0.9106649318096064,0.8576961629372972,2,2,split_main_landsat.csv,true,,,0.00003,1,model_hash_5e5fe3496ca3639.pth,16,10
split_landsat_MA.csv,Frozen encoder,Unet,"[""cloudy_Radiance_B10_B11_mean""]",0.8825574602399554,0.7869618798720823,0.7623674965575107,0.8115562631866541,0.9164748820993424,0.858878872903826,2,2,split_main_landsat.csv,true,,,0.00003,1,model_hash_acde9c59a5328fa.pth,16,10
split_landsat_MA.csv,Partially Frozen,SegFormer,"[""cloudy_Radiance_B10_B11_mean""]",0.8689922953760901,0.7660757101066942,0.7430888130837573,0.789062607129631,0.9217033133024036,0.8321934358779022,2,2,split_main_landsat.csv,,4,,8.1e-7,0.3,model_hash_44fcc5f2693cd3b.pth,16,10
split_landsat_MA.csv,Partially Frozen,SegFormer,"[""cloudy_Radiance_B10_B11_mean""]",0.8590903804943807,0.7509914711758738,0.7286988183409302,0.7732841240108174,0.9206056282070731,0.816145071399041,2,2,split_main_landsat.csv,,4,,0.0000027,0.3,model_hash_b15eb34ed651647.pth,16,10
split_landsat_MA.csv,Partially Frozen,SegFormer,"[""cloudy_Radiance_B10_B11_mean""]",0.8661274197093672,0.7614378116975745,0.7373666105096461,0.7855090128855029,0.9142432594465352,0.8325365672503882,2,2,split_main_landsat.csv,,4,,0.000009,0.3,model_hash_30a034bdac165f1.pth,16,10
split_landsat_MA.csv,Partially Frozen,Unet,"[""cloudy_Radiance_B10_B11_mean""]",0.8829583963286441,0.7873724824173312,0.7618185009650543,0.812926463869608,0.910584720154415,0.8636717794331529,2,2,split_main_landsat.csv,,3,,8.1e-7,0.3,model_hash_2b461b64cdf1967.pth,16,10
split_landsat_MA.csv,Partially Frozen,Unet,"[""cloudy_Radiance_B10_B11_mean""]",0.8807344151493719,0.7841469048301575,0.7598314482721832,0.8084623613881318,0.9178101811217344,0.8548509100212401,2,2,split_main_landsat.csv,,3,,0.0000027,0.3,model_hash_1f8543be1ade53e.pth,16,10
split_landsat_MA.csv,Partially Frozen,Unet,"[""cloudy_Radiance_B10_B11_mean""]",0.8736651347721138,0.7733921941999012,0.7506685567023937,0.7961158316974087,0.925190146630106,0.8376942553128081,2,2,split_main_landsat.csv,,3,,0.000009,0.3,model_hash_da83818fbf67a1e.pth,16,10
