Training scheme ,Table 6 model,batch_size,dataset,encoder_lr,features,fine-tune,freeze_encoder,loss,lr,lr_ratio,max_epochs,model_file,model_type,num_classes,optimizer,patience,target_band,thin_cloud_class,trained,weight_decay,freeze_encoder_first_k,prithvi_backbone,prithvi_decoder,prithvi_decoder_channels,prithvi_img_size,iou_0,iou_1,iou_avg,pixel_accuracy,precision_0,precision_1,recall_0,recall_1
FT on MA only,SSL4EO-R50,8,split_landsat_MA.csv,0.00000005,"[""cloudy_Radiance_B10_B11_mean""]",true,false,Dice,0.00005,0.5,100,model_hash_277b001eba237c6.pth,SSL4EO-L-Z-50,2,adamw,15,cloudy_cloud_mask,2,split_main_landsat.csv,0.0001,,,,,,0.676435119989471,0.72412286409089,0.700278992040181,0.825033270243392,0.738335233275377,0.910154742429408,0.889727161996958,0.779868871476551
FT on MA only,SSL4EO-R18,8,split_landsat_MA.csv,0.00000005,"[""cloudy_Radiance_B10_B11_mean""]",true,false,Dice,0.00005,0.5,100,model_hash_a7a5838b6479d51.pth,SSL4EO-L-Z,2,adamw,15,cloudy_cloud_mask,2,split_main_landsat.csv,0.0001,,,,,,0.66438509352604,0.722044044748497,0.693214569137268,0.820701700508395,0.742454202652335,0.892371719259824,0.863358982977861,0.79092160128203
FT - Partially Frozen,Prithvi-300M,8,split_landsat_MA.csv,0.0000005,"[""cloudy_Radiance_B10_B11_mean""]",true,false,Dice,0.00001,0.1,100,model_hash_06d41683b7130ad.pth,Prithvi-LWIR,2,adamw,15,cloudy_cloud_mask,2,split_main_landsat.csv,0.00001,1,prithvi_eo_v2_300_tl,UperNetDecoder,256,256,0.667650081769859,0.788669557167303,0.728159819468581,0.851649718427181,0.894221934430479,0.830369664246588,0.724900348886786,0.940136574205986
FT - Frozen encoder,Prithvi-300M,8,split_landsat_MA.csv,,"[""cloudy_Radiance_B10_B11_mean""]",true,true,Dice,0.00005,0.5,100,model_hash_54b4ba69beae936.pth,Prithvi-LWIR,2,adamw,15,cloudy_cloud_mask,2,split_main_landsat.csv,0.0001,,prithvi_eo_v2_300_tl,UperNetDecoder,256,256,0.67785089064932,0.800748402564039,0.739299646606679,0.859608393570907,0.922890083841853,0.829816830021827,0.718546673318701,0.958087053789325
FT on MA only,Prithvi-300M,8,split_landsat_MA.csv,0.00001,"[""cloudy_Radiance_B10_B11_mean""]",true,false,Dice,0.0001,1,100,model_hash_0b1864040a4f698.pth,Prithvi-LWIR,2,adamw,15,cloudy_cloud_mask,2,split_landsat_MA.csv,0.0001,,prithvi_eo_v2_300_tl,UperNetDecoder,256,256,0.679082951826555,0.769417695605946,0.724250323716251,0.845031307385211,0.820421013047778,0.861417865826027,0.797646771298995,0.878111618758832
FT - Partially Frozen,SSL4EO-R50,8,split_landsat_MA.csv,0.00001,"[""cloudy_Radiance_B10_B11_mean""]",true,false,Dice,0.0001,1,100,model_hash_70daa700c5caf34.pth,SSL4EO-L-Z-50,2,adamw,15,cloudy_cloud_mask,2,split_main_landsat.csv,0.0001,3,,,,,0.757202264976389,0.819621276512991,0.78841177074469,0.884560493139727,0.848381234943915,0.911231327673525,0.875706029031065,0.890742012554162
FT - Partially Frozen,SSL4EO-R18,8,split_landsat_MA.csv,0.00001,"[""cloudy_Radiance_B10_B11_mean""]",true,false,Dice,0.0001,1,100,model_hash_22a18b845a64e3a.pth,SSL4EO-L-Z,2,adamw,15,cloudy_cloud_mask,2,split_main_landsat.csv,0.0001,3,,,,,0.691054528264082,0.737349929024029,0.714202228644056,0.834551155369145,0.748402929990231,0.91882184142182,0.900183037941525,0.78873192211589
FT - Frozen encoder,SSL4EO-R50,32,split_landsat_MA.csv,0.00001,"[""cloudy_Radiance_B10_B11_mean""]",true,true,Dice,0.0001,1,100,model_hash_10bca57dbff87ed.pth,SSL4EO-L-Z-50,2,adamw,15,cloudy_cloud_mask,2,split_main_landsat.csv,0.0001,,,,,,0.735842317723878,0.779672001946346,0.757757159835112,0.863468284226729,0.782454236902069,0.940089655613562,0.925106359051778,0.820437226499931
FT - Frozen encoder,SSL4EO-R18,32,split_landsat_MA.csv,0.00001,"[""cloudy_Radiance_B10_B11_mean""]",true,true,Dice,0.0001,1,100,model_hash_e1cd704157c28a1.pth,SSL4EO-L-Z,2,adamw,15,cloudy_cloud_mask,2,split_main_landsat.csv,0.0001,,,,,,0.692290740856023,0.741058867781299,0.716674804318661,0.836379472599471,0.753196920932081,0.915897754767168,0.895410845207653,0.795168217874128
Trained Landsat Main,Prithvi-300M,32,split_landsat_MA.csv,0.00001,"[""cloudy_Radiance_B10_B11_mean""]",true,false,Dice,0.0001,1,100,model_hash_ff9dedc518666fd.pth,Prithvi-LWIR,2,adamw,15,cloudy_cloud_mask,2,split_main_landsat.csv,0.0001,,prithvi_eo_v2_300_tl,UperNetDecoder,256,224,0.679750618906828,0.726763951808863,0.703257285357845,0.8270615992752,0.740112041823165,0.912620686922258,0.892872309703546,0.781117521892484
